review,aesthetics,cost,effectiveness,efficiency,enjoyability,general,learnability,reliability,safety,security
Chỉ có một vài điều tôi hy vọng họ sẽ thay đổi/sửa.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Có một số lỗi nghiêm trọng nhưng có thể chịu đựng.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bạn đang kiếm đủ tiền, bạn bè ơi.",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tôi yêu thích việc tôi vẫn có thể tùy chỉnh nhưng tôi cảm thấy rằng có ít lựa chọn để tùy chỉnh hơn.,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luôn khá phiền phức khi có các giao dịch mua hàng trong ứng dụng nhưng một số bộ bài thật sự thú vị đến nỗi tôi không ngại trả khoảng hai đô la cho chúng.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Nếu bạn đang đọc đánh giá của tôi vì bạn đã thấy quảng cáo về trò chơi và muốn thử nó, đừng mua ứng dụng.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Trong khi bạn là kẻ mạo danh.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Nếu không, bạn phải chờ đến khi họ ""kết thúc lượt"" & điều này tạo ra vấn đề trong trò chơi.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"Tôi hoàn toàn ủng hộ việc chơi vui, nhưng nó không cân đối.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Tôi YÊU trò chơi này nhưng tôi THẬT SỰ rất bực mình.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tôi đã chơi Minecraft cả đời mình có vẻ như vậy, nhưng có điều gì đó không ổn với các skin tùy chỉnh.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
(Tôi hy vọng điều đó có ý nghĩa) Dù sao thì đó cũng chỉ là điều duy nhất tôi muốn thay đổi!,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tôi không mong đợi vấn đề về lỗi từ một ứng dụng trả phí.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Từ các trận đấu đa người chơi cho đến các loại chế độ chơi game battle royale khác nhau.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Vui lòng VUI LÒNG VUI LÒNG SỬA ĐIỀU NÀY.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vấn đề với trò chơi này là bạn làm đi làm lại cùng một việc, dù là ở cài đặt khác nhau hay không.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tôi sẽ thích nếu các bạn trở lại với phiên bản gốc của subway surfers.,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Nhưng gần đây nó đã trở nên giật lag, lỗi và thậm chí còn bị đứng hẳn khi tôi cố gắng chơi.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
